AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2018;Marzo;PUENTE VALLECAS;25;22;22;10;70;18;8;175
2018;Marzo;MORATALAZ;13;7;6;4;55;9;1;95
2018;Marzo;CIUDAD LINEAL;30;23;18;14;105;19;2;211
2018;Marzo;HORTALEZA;14;13;23;9;105;11;1;176
2018;Marzo;VILLAVERDE;25;16;25;7;46;13;9;141
2018;Marzo;VILLA DE VALLECAS;16;13;8;4;22;7;0;70
2018;Marzo;VICALVARO;9;2;5;11;3;10;1;41
2018;Marzo;SAN BLAS;7;17;13;4;86;12;6;145
2018;Marzo;BARAJAS;1;5;10;6;16;7;0;45
2018;Abril;CENTRO;31;27;27;10;35;21;11;162
2018;Abril;ARGANZUELA;24;6;20;4;27;9;5;95
2018;Abril;RETIRO;12;11;8;7;18;5;2;63
2018;Abril;SALAMANCA;13;23;18;5;26;17;5;107
2018;Abril;CHAMARTIN;24;13;15;5;25;9;7;98
2018;Abril;TETUAN;16;9;15;7;16;12;6;81
2018;Abril;CHAMBERI;21;19;23;9;8;5;4;89
2018;Abril;FUENCARRAL;25;10;28;4;28;9;11;115
2018;Abril;MONCLOA;19;8;17;4;24;9;1;82
2018;Abril;LATINA;39;8;18;12;31;16;40;164
2018;Abril;CARABANCHEL;61;11;23;8;28;15;4;150
2018;Abril;USERA;17;3;18;5;16;6;5;70
2018;Abril;PUENTE VALLECAS;32;12;38;10;21;9;3;125
2018;Abril;MORATALAZ;8;3;9;4;8;4;0;36
2018;Abril;CIUDAD LINEAL;19;11;25;7;31;4;6;103
2018;Abril;HORTALEZA;23;5;18;5;32;7;5;95
2018;Abril;VILLAVERDE;40;1;19;2;18;11;4;95
2018;Abril;VILLA DE VALLECAS;24;0;12;2;9;3;1;51
2018;Abril;VICALVARO;8;1;6;3;3;4;0;25
2018;Abril;SAN BLAS;16;1;17;6;30;8;6;84
2018;Abril;BARAJAS;4;0;4;2;8;2;0;20
2018;Abril;FUERA TERMINO MUNICIPAL;0;0;1;0;1;0;0;2
2018;Mayo;CENTRO;26;38;43;20;45;19;6;197
2018;Mayo;ARGANZUELA;10;12;19;8;25;10;11;95
2018;Mayo;RETIRO;12;10;10;1;26;6;6;71
2018;Mayo;SALAMANCA;19;14;22;16;44;9;2;126
2018;Mayo;CHAMARTIN;17;18;28;12;39;9;8;131
2018;Mayo;TETUAN;12;17;21;14;23;16;9;112
2018;Mayo;CHAMBERI;13;17;16;10;24;11;2;93
2018;Mayo;FUENCARRAL;26;3;26;7;26;10;9;107
2018;Mayo;MONCLOA;12;8;18;8;27;10;4;87
2018;Mayo;LATINA;21;9;21;12;50;7;9;129
2018;Mayo;CARABANCHEL;35;11;27;8;46;13;7;147
2018;Mayo;USERA;21;4;18;5;18;5;1;72
2018;Mayo;PUENTE VALLECAS;29;12;16;17;31;16;13;134
2018;Mayo;MORATALAZ;7;2;12;6;9;3;0;39
2018;Mayo;CIUDAD LINEAL;27;12;29;16;66;11;4;165
2018;Mayo;HORTALEZA;16;7;19;7;38;9;4;100
2018;Mayo;VILLAVERDE;29;3;17;7;29;4;2;91
2018;Mayo;VILLA DE VALLECAS;27;2;15;3;10;7;0;64
2018;Mayo;VICALVARO;12;2;4;8;4;11;0;41
2018;Mayo;SAN BLAS;14;6;23;11;27;9;3;93
2018;Mayo;BARAJAS;2;0;8;0;9;1;0;20
2018;Mayo;FUERA TERMINO MUNICIPAL;0;0;1;0;0;0;0;1
2018;Junio;CENTRO;24;26;32;14;49;25;6;176
2018;Junio;ARGANZUELA;27;4;22;7;32;12;3;107
2018;Junio;RETIRO;15;5;14;5;33;8;4;84
2018;Junio;SALAMANCA;19;17;30;9;40;6;4;125
2018;Junio;CHAMARTIN;15;7;20;3;46;10;5;106
2018;Junio;TETUAN;16;12;26;9;22;10;9;104
2018;Junio;CHAMBERI;8;14;29;9;40;13;5;118
2018;Junio;FUENCARRAL;40;6;43;13;37;16;17;172
2018;Junio;MONCLOA;11;7;18;10;33;12;9;100
2018;Junio;LATINA;23;4;45;11;63;6;5;157
2018;Junio;CARABANCHEL;38;6;38;5;51;15;4;157
2018;Junio;USERA;18;3;18;7;24;8;3;81
2018;Junio;PUENTE VALLECAS;33;7;35;5;51;15;43;189
2018;Junio;MORATALAZ;4;1;13;3;15;9;2;47
2018;Junio;CIUDAD LINEAL;28;5;27;10;84;15;5;174
2018;Junio;HORTALEZA;14;5;23;6;47;8;3;106
2018;Junio;VILLAVERDE;50;4;17;5;26;12;13;127
2018;Junio;VILLA DE VALLECAS;33;2;13;1;16;7;2;74
2018;Junio;VICALVARO;9;1;19;3;6;5;2;45
2018;Junio;SAN BLAS;13;5;15;3;41;8;4;89
2018;Junio;BARAJAS;4;0;12;2;10;3;0;31
2018;Junio;SIN DISTRITO;1;0;0;0;0;0;0;1
2018;Julio;CENTRO;38;25;48;19;44;23;5;202
2018;Julio;ARGANZUELA;12;6;36;7;33;7;1;102
2018;Julio;RETIRO;14;7;13;4;31;5;2;76
2018;Julio;SALAMANCA;17;9;22;9;40;11;2;110
2018;Julio;CHAMARTIN;15;7;21;5;27;6;1;82
2018;Julio;TETUAN;20;5;17;7;20;9;2;80
2018;Julio;CHAMBERI;27;11;21;12;25;11;1;108
2018;Julio;FUENCARRAL;56;4;35;18;36;17;0;166
2018;Julio;MONCLOA;23;9;26;8;38;13;1;118
2018;Julio;LATINA;44;6;24;7;43;13;3;140
2018;Julio;CARABANCHEL;43;7;32;12;33;15;2;144
2018;Julio;USERA;31;2;14;8;24;9;3;91
2018;Julio;PUENTE VALLECAS;50;6;22;14;37;13;4;146
2018;Julio;MORATALAZ;14;1;16;1;12;5;0;49
2018;Julio;CIUDAD LINEAL;31;5;24;8;74;7;0;149
2018;Julio;HORTALEZA;34;6;26;1;40;16;1;124
2018;Julio;VILLAVERDE;84;2;14;6;40;4;2;152
2018;Julio;VILLA DE VALLECAS;81;1;21;8;8;17;0;136
2018;Julio;VICALVARO;24;1;7;3;8;5;1;49
2018;Julio;SAN BLAS;26;4;22;9;39;9;2;111
2018;Julio;BARAJAS;6;3;15;4;9;6;1;44
2018;Agosto;CENTRO;29;15;36;23;44;15;4;166
2018;Agosto;ARGANZUELA;21;5;22;16;35;7;3;109
2018;Agosto;RETIRO;13;5;11;8;28;3;0;68
2018;Agosto;SALAMANCA;18;12;20;19;28;8;1;106
2018;Agosto;CHAMARTIN;12;9;28;9;36;3;2;99
2018;Agosto;TETUAN;16;5;22;13;19;10;0;85
2018;Agosto;CHAMBERI;16;8;20;12;23;4;0;83
2018;Agosto;FUENCARRAL;42;4;25;7;50;9;1;138
2018;Agosto;MONCLOA;27;9;24;12;45;9;1;127
2018;Agosto;LATINA;24;5;35;13;63;10;1;151
2018;Agosto;CARABANCHEL;52;4;27;13;44;18;0;158
2018;Agosto;USERA;22;3;18;10;28;9;2;92
2018;Agosto;PUENTE VALLECAS;46;11;25;23;49;12;3;169
2018;Agosto;MORATALAZ;12;2;18;4;23;3;3;65
2018;Agosto;CIUDAD LINEAL;33;5;31;8;76;17;2;172
2018;Agosto;HORTALEZA;21;5;19;7;25;6;0;83
2018;Agosto;VILLAVERDE;70;13;17;10;49;21;0;180
2018;Agosto;VILLA DE VALLECAS;60;4;14;8;11;8;0;105
2018;Agosto;VICALVARO;22;0;9;6;10;4;0;51
2018;Agosto;SAN BLAS;34;2;29;8;51;6;2;132
2018;Agosto;BARAJAS;3;1;6;2;8;3;0;23
2018;Septiembre;CENTRO;26;14;36;23;36;16;5;156
2018;Septiembre;ARGANZUELA;33;4;17;6;30;14;3;107
2018;Septiembre;RETIRO;9;3;15;5;20;7;0;59
2018;Septiembre;SALAMANCA;13;11;20;7;30;13;5;99
2018;Septiembre;CHAMARTIN;20;3;14;8;28;4;6;83
2018;Septiembre;TETUAN;16;5;24;6;19;11;1;82
2018;Septiembre;CHAMBERI;22;12;25;6;26;11;0;102
2018;Septiembre;FUENCARRAL;29;2;32;5;25;4;4;101
2018;Septiembre;MONCLOA;14;4;20;9;17;0;3;67
2018;Septiembre;LATINA;26;8;22;9;43;7;1;116
2018;Septiembre;CARABANCHEL;35;13;22;3;42;6;0;121
2018;Septiembre;USERA;16;8;18;5;25;7;0;79
2018;Septiembre;PUENTE VALLECAS;42;5;28;12;40;18;1;146
2018;Septiembre;MORATALAZ;11;2;8;0;10;2;0;33
2018;Septiembre;CIUDAD LINEAL;36;1;28;7;42;14;5;133
2018;Septiembre;HORTALEZA;16;3;21;8;22;8;0;78
2018;Septiembre;VILLAVERDE;25;4;19;3;30;7;0;88
2018;Septiembre;VILLA DE VALLECAS;43;3;15;7;13;10;1;92
2018;Septiembre;VICALVARO;12;2;10;0;8;7;0;39
2018;Septiembre;SAN BLAS;21;3;16;3;21;4;0;68
2018;Septiembre;BARAJAS;7;2;4;3;9;2;0;27
2018;Octubre;CENTRO;38;28;38;22;38;16;9;189
2018;Octubre;ARGANZUELA;18;5;28;12;37;8;4;112
2018;Octubre;RETIRO;7;3;19;9;21;6;0;65
2018;Octubre;SALAMANCA;11;8;21;10;39;12;2;103
2018;Octubre;CHAMARTIN;15;12;21;12;24;9;6;99
2018;Octubre;TETUAN;20;9;21;12;26;6;4;98
2018;Octubre;CHAMBERI;26;13;25;13;41;5;5;128
2018;Octubre;FUENCARRAL;24;6;36;14;37;10;7;134
2018;Octubre;MONCLOA;20;5;32;14;34;8;7;120
2018;Octubre;LATINA;34;9;22;17;33;7;4;126
2018;Octubre;CARABANCHEL;43;5;29;4;33;15;3;132
2018;Octubre;USERA;15;2;12;5;16;4;5;59
2018;Octubre;PUENTE VALLECAS;42;8;22;15;39;9;4;139
2018;Octubre;MORATALAZ;15;1;16;3;19;6;3;63
2018;Octubre;CIUDAD LINEAL;19;3;14;8;42;8;1;95
2018;Octubre;HORTALEZA;11;4;12;8;24;8;7;74
2018;Octubre;VILLAVERDE;15;3;14;3;20;9;8;72
2018;Octubre;VILLA DE VALLECAS;32;2;11;7;8;10;1;71
2018;Octubre;VICALVARO;13;0;5;6;4;6;0;34
2018;Octubre;SAN BLAS;15;3;20;7;25;4;3;77
2018;Octubre;BARAJAS;3;2;10;5;8;1;1;30
2018;Octubre;FUERA TERMINO MUNICIPAL;0;0;0;0;0;0;1;1
2018;Noviembre;CENTRO;30;25;34;17;49;17;8;180
2018;Noviembre;ARGANZUELA;13;7;19;7;28;11;1;86
2018;Noviembre;RETIRO;8;3;13;4;16;7;5;56
2018;Noviembre;SALAMANCA;10;22;24;13;24;7;1;101
2018;Noviembre;CHAMARTIN;8;4;18;9;23;7;3;72
2018;Noviembre;TETUAN;27;16;21;8;19;10;4;105
2018;Noviembre;CHAMBERI;8;15;27;12;17;8;2;89
2018;Noviembre;FUENCARRAL;19;8;22;9;25;10;5;98
2018;Noviembre;MONCLOA;13;8;23;15;19;7;4;89
2018;Noviembre;LATINA;15;5;19;7;27;12;28;113
2018;Noviembre;CARABANCHEL;29;13;22;7;43;3;5;122
2018;Noviembre;USERA;12;6;12;5;14;3;6;58
2018;Noviembre;PUENTE VALLECAS;21;11;20;11;28;10;5;106
2018;Noviembre;MORATALAZ;10;1;12;4;8;6;0;41
2018;Noviembre;CIUDAD LINEAL;14;6;19;13;45;12;0;109
2018;Noviembre;HORTALEZA;14;2;12;7;20;4;0;59
2018;Noviembre;VILLAVERDE;20;2;16;6;19;11;6;80
2018;Noviembre;VILLA DE VALLECAS;16;1;3;5;7;5;0;37
2018;Noviembre;VICALVARO;12;1;6;6;7;3;2;37
2018;Noviembre;SAN BLAS;7;4;14;1;21;7;6;60
2018;Noviembre;BARAJAS;3;1;4;3;8;1;2;22
2018;Diciembre;CENTRO;32;20;30;22;30;15;14;163
2018;Diciembre;ARGANZUELA;11;1;17;7;13;8;3;60
2018;Diciembre;RETIRO;16;5;10;4;15;7;16;73
2018;Diciembre;SALAMANCA;20;8;23;8;16;10;2;87
2018;Diciembre;CHAMARTIN;9;2;10;11;19;10;7;68
2018;Diciembre;TETUAN;27;6;14;7;20;10;0;84
2018;Diciembre;CHAMBERI;17;6;28;9;17;10;3;90
2018;Diciembre;FUENCARRAL;17;5;21;11;23;7;4;88
2018;Diciembre;MONCLOA;6;4;24;6;21;5;6;72
2018;Diciembre;LATINA;29;3;15;9;17;17;20;110
2018;Diciembre;CARABANCHEL;40;3;20;6;31;12;6;118
2018;Diciembre;USERA;10;2;10;2;13;5;5;47
2018;Diciembre;PUENTE VALLECAS;39;5;16;13;20;11;4;108
2018;Diciembre;MORATALAZ;7;2;7;3;11;4;1;35
2018;Diciembre;CIUDAD LINEAL;24;5;25;7;15;13;2;91
2018;Diciembre;HORTALEZA;16;2;21;1;17;11;1;69
2018;Diciembre;VILLAVERDE;29;0;16;7;9;6;1;68
2018;Diciembre;VILLA DE VALLECAS;27;3;13;9;9;8;0;69
2018;Diciembre;VICALVARO;11;0;3;0;4;1;1;20
2018;Diciembre;SAN BLAS;14;5;19;10;12;6;0;66
2018;Diciembre;BARAJAS;5;0;6;2;3;2;6;24
2018;Diciembre;FUERA TERMINO MUNICIPAL;0;0;1;0;0;0;0;1
