Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0118000556,180016,HOSPITAL UNIVERSITARIO VIRGEN DE LAS NIEVES,ANDALUCÍA,GRANADA,Granada,AVENIDA DE LAS FUERZAS ARMADAS 2,18014,958020000,468,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0118000560,180166,HOSPITAL MATERNO-INFANTIL DEL H.U. VIRGEN DE LAS NIEVES,ANDALUCÍA,GRANADA,Granada,AVENIDA DE LAS FUERZAS ARMADAS 2,18014,000000000,230,Hospitales especializados,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0118000562,180107,HOSPITAL SANTA ANA,ANDALUCÍA,GRANADA,Motril,AVENIDA ENRIQUE MARTIN CUEVAS S/N,18600,958038200,184,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0118000563,180055,HOSPITAL SAN RAFAEL,ANDALUCÍA,GRANADA,Granada,CALLE SAN JUAN DE DIOS 19-23,18001,958275700,166,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0118001566,180122,HOSPITAL DE ALTA RESOLUCION DE  GUADIX,ANDALUCÍA,GRANADA,Guadix,AVENIDA MARIANA PINEDA S/N,18500,958699136,50,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0118004203,180133,HOSPITAL DE ALTA RESOLUCIÃN DE LOJA,ANDALUCÍA,GRANADA,Loja,AVENIDA TIERNO GALVÃN S/N,18300,958338150,22,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0118004282,180146,HOSPITAL VITHAS LA SALUD,ANDALUCÍA,GRANADA,Granada,AVENIDA SANTA MARIA DE LA ALHAMBRA S/N,18008,958001450,77,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0118004562,180150,HOSPITAL UNIVERSITARIO CLINICO SAN CECILIO,ANDALUCÍA,GRANADA,Granada,AVENIDA DE LA INVESTIGACION S/N,18016,958021702,543,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0118004856,180042,HOSPITAL  DE NEUROTRAUMATOLOGIA Y REHABILITACION DEL H.U. VIRGEN DE LAS NIEVES,ANDALUCÍA,GRANADA,Granada,CARRETERA DE JAÃ©N S/N,18013,958020000,185,Hospitales especializados,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0121000146,210025,HOSPITAL INFANTA ELENA,ANDALUCÍA,HUELVA,Huelva,CALLE DR. PEDRO NARANJO RODRÃ­GUEZ S/N,21007,959015132,304,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0121000147,210123,HOSPITAL UNIVERSITARIO JUAN RAMON JIMENEZ,ANDALUCÍA,HUELVA,Huelva,RONDA EXTERIOR NORTE S/N,21005,959016000,542,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0121000149,210031,HOSPITAL VAZQUEZ  DIAZ,ANDALUCÍA,HUELVA,Huelva,CARRETERA SEVILLA-HUELVA S/N,21005,959014603,91,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0121000150,210097,HOSPITAL DE RIOTINTO,ANDALUCÍA,HUELVA,Minas de Riotinto,AVENIDA LA ESQUILA 5,21660,959025295,118,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0121000151,210084,CLINICA LOS NARANJOS,ANDALUCÍA,HUELVA,Huelva,PASEO DE LOS NARANJOS 1,21004,959243900,25,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0121001251,210137,HOSPITAL QUIRONSALUD HUELVA,ANDALUCÍA,HUELVA,Huelva,CALLE PUNTA UMBRÃA 8,21002,959242100,56,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0121001889,210148,HOSPITAL VIRGEN DE LA BELLA,ANDALUCÍA,HUELVA,Lepe,"AVENIDA LAS ROSAS, S/N S/N",21440,959180550,61,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0123000208,230011,HOSPITAL UNIVERSITARIO DE JAEN,ANDALUCÍA,JAÉN,Jaén,AVENIDA EJERCITO ESPAÃOL 10,23007,953008010,805,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0123000210,230047,HOSPITAL NEUROTRAUMATOLOGICO DEL H.U. DE JAEN,ANDALUCÍA,JAÉN,Jaén,CARRETERA BAILEN MOTRIL S/N,23007,953008000,193,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0123000211,230026,HOSPITAL DOCTOR  SAGAZ,ANDALUCÍA,JAÉN,Jaén,CARRETERA DEL NEVERAL S/N,23004,953008001,54,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0123000212,230151,HOSPITAL MATERNO-INFANTIL DEL H.U. DE JAEN,ANDALUCÍA,JAÉN,Jaén,AVENIDA DEL EJERCITO ESPAÃ?OL 10,23007,953008000,122,Hospitales especializados,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0123000213,230079,HOSPITAL  SAN AGUSTIN,ANDALUCÍA,JAÉN,Linares,AVENIDA SAN CRISTOBAL S/N,23700,953024200,204,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0123000214,230098,HOSPITAL SAN JUAN DE LA CRUZ,ANDALUCÍA,JAÉN,Úbeda,CARRETERA DE LINARES S/N,23400,953028200,225,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0123000215,230063,CLINICA CRISTO REY,ANDALUCÍA,JAÉN,Jaén,PASEO LA ESTACION 40,23008,953250440,39,Otros Centros con Internamiento,PRIVADOS,,Sin concierto,NO
0123000216,230145,HOSPITAL ALTO GUADALQUIVIR,ANDALUCÍA,JAÉN,Andújar,AVENIDA BLAS INFANTE S/N,23740,953021575,67,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0123000703,230162,HOSPITAL DE ALTA RESOLUCION SIERRA DE SEGURA,ANDALUCÍA,JAÉN,Puente de Génave,"CARRETERA PUENTE GENAVE - LA PUERTA DE SEGURA, KM. 0,300 S/N",23350,953499012,24,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0123000736,230173,HOSPITAL DE ALTA RESOLUCION DE ALCAUDETE,ANDALUCÍA,JAÉN,Alcaudete,CAMINO VIEJO DE LA FUENSANTA 2,23660,953368211,16,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0123002675,230184,HOSPITAL DE ALTA RESOLUCION DE ALCALA LA REAL,ANDALUCÍA,JAÉN,Alcalá la Real,AVENIDA DE IBEROAMÃ?RICA S/N,23680,953599008,28,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,NO
0123003108,230195,HOSPITAL PUERTA DE ANDALUCÃA,ANDALUCÍA,JAÉN,Jaén,CARRETERA CARRETERA BAILEN-MOTRIL S/N,23009,953008000,79,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0129001066,290287,HOSPITAL COSTA DEL SOL,ANDALUCÍA,MALAGA,Marbella,CARRETERA AUTOVIA A-7 S/N,29603,951976669,408,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0129001068,290017,HOSPITAL UNIVERSITARIO REGIONAL DE MALAGA,ANDALUCÍA,MALAGA,Málaga,AVENIDA CARLOS HAYA S/N,29010,951030100,523,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0129001070,290265,HOSPITAL MATERNO INFANTIL DEL H.U.R.  DE  MALAGA,ANDALUCÍA,MALAGA,Málaga,CALLE ARROYO DE LOS ANGELES S/N,29009,951030200,349,Hospitales especializados,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0129001071,290038,HOSPITAL CIVIL,ANDALUCÍA,MALAGA,Málaga,PLAZA DEL HOSPITAL CIVIL S/N,29009,951030300,201,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0129001073,290022,HOSPITAL UNIVERSITARIO VIRGEN DE LA VICTORIA,ANDALUCÍA,MALAGA,Málaga,CALLE CAMPUS UNIVERSITARIO TEATINOS S/N,29010,951032000,657,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0129001075,290213,HOSPITAL MARITIMO DE  TORREMOLINOS,ANDALUCÍA,MALAGA,Torremolinos,CALLE SANATORIO 5,29620,951033735,89,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0129001077,290206,HOSPITAL DE LA AXARQUIA,ANDALUCÍA,MALAGA,Vélez-Málaga,AVENIDA DEL SOL 43,29740,951067010,196,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0129001079,290081,HOSPITAL VITHAS PARQUE SAN ANTONIO,ANDALUCÍA,MALAGA,Málaga,AVENIDA PINTOR JOAQUIN SOROLLA 2,29016,952211050,100,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0129001080,290141,CLINICA NUESTRA SEÑORA DEL PILAR,ANDALUCÍA,MALAGA,Málaga,PASEO DE SANCHA 15,29016,952217606,21,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0129001081,290115,CLINICA DE LA ENCARNACION,ANDALUCÍA,MALAGA,Málaga,CALLE FERNANDEZ DE ALARCON 2,29007,952287766,105,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0129001082,290108,HOSPITAL DR. GALVEZ,ANDALUCÍA,MALAGA,Málaga,CALLE SAN AGUSTIN 1,29015,952224295,62,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0129001083,290228,CLINICA SANTA ELENA,ANDALUCÍA,MALAGA,Torremolinos,URBANIZACION LOS ALAMOS S/N,29620,952386266,90,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0129001084,290094,HOSPITAL EL ANGEL,ANDALUCÍA,MALAGA,Málaga,CALLE CORREGIDOR NICOLAS ISIDRO 16,29007,952045000,138,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0129001085,290075,CENTRO ASISTENCIAL HNAS. HOSPITALARIAS DEL  SAGRADO CORAZON DE JESUS,ANDALUCÍA,MALAGA,Málaga,CALLE SAN JUAN BOSCO 41,29014,952256150,321,Hospitales de salud mental y tratamiento de toxicomanías,PRIVADOS,,Concierto parcial,NO
0129001086,290348,CLINICA EL SERANIL,ANDALUCÍA,MALAGA,Vélez-Málaga,CARRETERA ALMERIA S/N,29790,952513267,60,Hospitales de salud mental y tratamiento de toxicomanías,PRIVADOS,,Sin concierto,NO
0129001087,290154,HOSPITAL  DE ANTEQUERA,ANDALUCÍA,MALAGA,Antequera,AVENIDA POETA MUÃOZ ROJAS S/N,29200,951061008,159,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0129001088,290173,HOSPITAL QUIRONSALUD MARBELLA,ANDALUCÍA,MALAGA,Marbella,AVENIDA SEVERO OCHOA 22,29603,952774200,75,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0129001090,290069,CENTRO ASISTENCIAL SAN JUAN DE DIOS,ANDALUCÍA,MALAGA,Málaga,CAMINO CASABERMEJA 126,29014,952250550,398,Hospitales de salud mental y tratamiento de toxicomanías,PRIVADOS,,Concierto parcial,NO
0129001091,290136,HOSPITAL PSIQUIATRICO SAN FRANCISCO DE ASIS,ANDALUCÍA,MALAGA,Málaga,AVENIDA HERNAN NUÑEZ DE TOLEDO 5,29018,952201464,150,Hospitales de salud mental y tratamiento de toxicomanías,PRIVADOS,,Sin concierto,NO
0129001092,290359,HC MARBELLA INTERNATIONAL HOSPITAL,ANDALUCÍA,MALAGA,Marbella,"URBANIZACION LAS MIMOSAS, CASA SANTA ISABEL, S/N S/N",29660,952908628,12,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0129001095,290416,COMUNIDAD TERAPEUTICA SAN ANTONIO,ANDALUCÍA,MALAGA,Málaga,CALLE EXTREMADURA 8,29018,952201464,35,Hospitales de salud mental y tratamiento de toxicomanías,PRIVADOS,,Sin concierto,NO
0129001424,290461,HOSPITAL OCHOA,ANDALUCÍA,MALAGA,Marbella,PASEO ALFONSO CAÃAS NOGUERAS (PASEO MARITIMO) S/N,29603,952861400,22,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0129001851,290382,HOSPITEN ESTEPONA,ANDALUCÍA,MALAGA,Estepona,CARRETERA NACIONAL 340 S/N,29680,952760600,74,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0129001928,290405,HOSPITAL VITHAS XANIT INTERNACIONAL,ANDALUCÍA,MALAGA,Benalmádena,AVENIDA DE LOS ARGONAUTAS S/N,29630,952443119,125,Hospitales Generales,PRIVADOS,,Concierto parcial,NO
0129001929,290393,FUNDACION CUDECA. CENTRO DE CUIDADOS PALIATIVOS,ANDALUCÍA,MALAGA,Benalmádena,AVENIDA DEL COSMOS S/N,29631,952564910,15,Hospitales especializados,PRIVADOS,,Red de utilización pública (RUP),NO
0129002204,290427,HOSPITAL DE ALTA RESOLUCION DE BENALMADENA,ANDALUCÍA,MALAGA,Benalmádena,AVENIDA ARROYO HONDO S/N,29630,951976000,46,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0129002504,290449,HOSPITAL QUIRONSALUD MALAGA,ANDALUCÍA,MALAGA,Málaga,AVENIDA IMPERIO ARGENTINA 1,29004,952176016,121,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0129003159,290472,CENTRO DE REPRODUCCION ASISTIDA DE MARBELLA (CERAM),ANDALUCÍA,MALAGA,Marbella,CALLE MAESTRA DOÑA CAROLA 8,29602,952829035,22,Hospitales Generales,PRIVADOS,,Sin concierto,NO
0129007039,290506,HOSPITAL DE LA SERRANIA,ANDALUCÍA,MALAGA,Ronda,"CARRETERA RONDA-SAN PEDRO, KM. 2 S/N",29400,951065077,150,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto,SI
0129007432,290517,HOSPITAL VALLE DE GUADALHORCE DE  CARTAMA,ANDALUCÍA,MALAGA,Cártama,"CARRETERA AUTOVIA A-357 MÃ?LAGA - CAMPIÃ?A, KM 49 S/N",29570,951291105,28,Hospitales Generales,SERVICIOS E INSTITUTOS DE SALUD DE LAS COMUNIDADES AUTÓNOMAS,,Sin concierto.,NO
0141000534,410114,HOSPITAL QUIRONSALUD SAGRADO CORAZON,ANDALUCÍA,SEVILLA,Sevilla,CALLE RAFAEL SALGADO 3,41013,954937676,147,Hospitales Generales,PRIVADOS,,Sin concierto,NO
